frequencyRank	baseForm	rawFrequency	translation	partOfSpeech
1	de	1903456	of / from	preposition
2	la	1743990	the (fem.)	pronoun
3	que	1710200	that / which	other
4	el	1652231	the (masc.)	pronoun
5	en	1429800	in	preposition
6	y	1394502	and	other
7	a	1321992	to	preposition
8	los	1210300	the (plural)	pronoun
9	se	1152001	self / oneself	pronoun
10	del	1103988	of the	preposition
720	por	1087622	for / by	preposition
840	un	1021110	a / one	pronoun
990	para	986522	for	preposition
1580	con	953441	with	preposition
1820	no	940120	no	other
220	hablar	621000	to speak	verb
360	casa	588000	house	noun
480	comer	530500	to eat	verb
620	chile	498200	Chile	noun
840	yo	433200	I	pronoun
1250	trabajar	319000	to work	verb
1620	libro	275500	book	noun
1890	ciudad	240400	city	noun
2100	escuela	221300	school	noun
2400	familia	197800	family	noun
