frequencyRank	baseForm	rawFrequency	translation	partOfSpeech
1	и	2045120	and	connector
2	в	1872201	in / at	preposition
3	не	1790110	not	other
4	на	1667800	on	preposition
5	я	1543310	I	pronoun
6	быть	1492200	to be	verb
7	что	1450099	that	connector
8	он	1398821	he	pronoun
9	с	1321102	with	preposition
10	москва	1289920	Moscow	noun
650	россия	1221140	Russia	noun
910	мы	1162100	we	pronoun
1250	говорить	1093377	to speak	verb
1660	или	1048730	or	connector
1980	работать	996210	to work	verb
320	дом	812400	house	noun
470	есть	776500	to eat	verb
880	книга	622300	book	noun
1420	город	511800	city	noun
1750	школа	472200	school	noun
2300	семья	401100	family	noun
